ano_comp;uf;adm_des;ibge_subsetor;saldo_mov
2009;53;2;18;-1934
2009;22;2;5;-34
2009;41;1;11;47671
2009;51;1;19;15401
2009;13;1;8;1334
2009;31;2;6;-14665
2009;23;2;2;-4583
2009;22;1;8;235
2009;15;2;11;-1474
2009;43;1;21;141078
2009;41;2;7;-35928
2009;11;1;13;9565
2009;42;2;23;-15677
2009;23;2;12;-12930
2009;32;2;4;-6551
2009;11;2;8;-323
2009;24;2;22;-2668
2009;13;2;13;-5626
2009;28;1;9;234
2009;32;1;25;39210
2009;51;2;6;-221
2009;25;2;15;-15626
2009;12;2;23;-479
2009;22;2;13;-4514
2009;23;2;18;-1231
2009;29;2;7;-3170
2009;28;2;17;-2527
2009;53;2;2;-843
2009;31;1;19;220268
2009;29;1;11;9077
2009;11;1;5;26
2009;24;2;1;-1559
2009;14;1;24;9
2009;41;1;12;1544
2009;17;1;19;3473
2009;29;1;2;5465
2009;43;1;15;90215
2009;33;2;6;-11684
2009;53;2;11;-548
2009;21;1;6;114
2009;50;2;6;-191
2009;12;1;20;968
2009;32;2;1;-2647
2009;41;1;18;4777
